Loan_Number,AD_Tool,Appraisal_Dt,Auth_Price,Attached_Ind
100061,,,100.125,N
77,DS,8/25/2006 12:00:00 AM,100,N
100062,DS,09/05/2006 0:00,101.125,N
78,DS,8/17/2006 12:00:00 AM,100.25,N
100063,DS,11/08/2006 0:00,100.875,N
79,,,100,N
100064,DS,09/07/2006 0:00,101.125,N
80,DS,9/15/2006 12:00:00 AM,100,N
100065,DS,,100,N
81,DS,9/27/2006 12:00:00 AM,94.875,N
82,DS,6/27/2006 12:00:00 AM,100.125,Y
100066,DS,9/19/2006 12:00:00 AM,99.75,N
83,,,100.125,N
100067,DS,,100.125,N
100068,DS,02/05/2007 0:00,98.875,N
84,DS,10/04/2006 0:00,101.75,N
100069,DS,09/12/2006 0:00,99.25,N
85,DS,10/18/2006 12:00:00 AM,100.625,Y
86,LP,02/12/2007 0:00,97.375,Y
100070,DS,9/20/2006 12:00:00 AM,99.375,N
87,DS,01/04/2007 0:00,96.125,Y
100071,DS,09/11/2006 0:00,99.75,N
88,DS,10/12/2006 0:00,100.625,N
100072,DS,9/28/2006 12:00:00 AM,100.625,N
89,DS,03/05/2007 0:00,100.25,Y
90,LP,03/02/2007 0:00,100,N
100073,,,100.375,N
100074,DS,11/02/2006 0:00,102,Y
91,DS,9/25/2006 12:00:00 AM,100,Y
100075,,,100.125,Y
92,DS,10/16/2006 12:00:00 AM,100.375,N
100076,DS,9/22/2006 12:00:00 AM,100.5,Y
93,DS,10/13/2006 12:00:00 AM,100.125,Y
94,,,100.125,Y
100077,DS,8/25/2006 12:00:00 AM,100,N
95,DS,10/06/2006 0:00,100,N
96,DS,10/17/2006 12:00:00 AM,99.875,N
100078,DS,8/17/2006 12:00:00 AM,100.25,N
97,DS,,100,N
98,DS,10/10/2006 0:00,100,N
100079,,,100,N
99,,,100,N
100080,DS,9/15/2006 12:00:00 AM,100,N
100081,DS,9/27/2006 12:00:00 AM,94.875,N
100,DS,03/07/2007 0:00,100.125,N
101,DS,10/31/2006 12:00:00 AM,98.25,N
